displayFeName_en,displayFeName_ta,displayFeLabel_en,displayFeLabel_ta,nodeLabel_en,nodeLabel_ta,id,parentId
Party Head Quarters,தலைமை,,,Root,ரூட்,ST-33,ST-33
Delta,டெல்டா,Districts,மாவட்டங்கள்,Regions,பிரதேசங்கள்,RC-3,ST-33
Northern,வடக்கு,Districts,மாவட்டங்கள்,Regions,பிரதேசங்கள்,RC-1,ST-33
Western,மேற்கு,Districts,மாவட்டங்கள்,Regions,பிரதேசங்கள்,RC-2,ST-33
Southern,தெற்கு,Districts,மாவட்டங்கள்,Regions,பிரதேசங்கள்,RC-4,ST-33
Ariyalur,அரியலூர்,District,மாவட்டம்,District,மாவட்டம்,DC-610,RC-3
Chengalpattu,செங்கல்பட்டு,District,மாவட்டம்,District,மாவட்டம்,DC-730,RC-1
Chennai,சென்னை,District,மாவட்டம்,District,மாவட்டம்,DC-568,RC-1
Coimbatore,கோயம்புத்தூர்,District,மாவட்டம்,District,மாவட்டம்,DC-569,RC-2
Cuddalore,கடலூர்,District,மாவட்டம்,District,மாவட்டம்,DC-570,RC-1
Dharmapuri,தருமபுரி,District,மாவட்டம்,District,மாவட்டம்,DC-571,RC-2
Dindigul,திண்டுக்கல்,District,மாவட்டம்,District,மாவட்டம்,DC-572,RC-4
Erode,ஈரோடு,District,மாவட்டம்,District,மாவட்டம்,DC-573,RC-2
Kallakurichi,கள்ளக்குறிச்சி,District,மாவட்டம்,District,மாவட்டம்,DC-729,RC-1
Kancheepuram,காஞ்சிபுரம்,District,மாவட்டம்,District,மாவட்டம்,DC-574,RC-1
Kanniyakumari,கன்னியாகுமரி,District,மாவட்டம்,District,மாவட்டம்,DC-575,RC-4
Karur,கரூர்,District,மாவட்டம்,District,மாவட்டம்,DC-576,RC-3
Krishnagiri,கிருஷ்ணகிரி,District,மாவட்டம்,District,மாவட்டம்,DC-577,RC-2
Madurai,மதுரை,District,மாவட்டம்,District,மாவட்டம்,DC-578,RC-4
Mayiladuthurai,மயிலாடுதுறை,District,மாவட்டம்,District,மாவட்டம்,DC-735,RC-3
Nagapattinam,நாகப்பட்டினம்,District,மாவட்டம்,District,மாவட்டம்,DC-579,RC-3
Namakkal,நாமக்கல்,District,மாவட்டம்,District,மாவட்டம்,DC-580,RC-2
Nilgiris,நீலகிரி,District,மாவட்டம்,District,மாவட்டம்,DC-587,RC-2
Perambalur,பெரம்பலூர்,District,மாவட்டம்,District,மாவட்டம்,DC-581,RC-3
Pudukkottai,புதுக்கோட்டை,District,மாவட்டம்,District,மாவட்டம்,DC-582,RC-3
Ramanathapuram,ராமநாதபுரம்,District,மாவட்டம்,District,மாவட்டம்,DC-583,RC-4
Ranipet,ராணிப்பேட்டை,District,மாவட்டம்,District,மாவட்டம்,DC-731,RC-1
Salem,சேலம்,District,மாவட்டம்,District,மாவட்டம்,DC-584,RC-2
Sivaganga,சிவகங்கை,District,மாவட்டம்,District,மாவட்டம்,DC-585,RC-4
Tenkasi,தென்காசி,District,மாவட்டம்,District,மாவட்டம்,DC-733,RC-4
Thanjavur,தஞ்சாவூர்,District,மாவட்டம்,District,மாவட்டம்,DC-586,RC-3
Theni,தேனி,District,மாவட்டம்,District,மாவட்டம்,DC-588,RC-4
Thiruvarur,திருவாரூர்,District,மாவட்டம்,District,மாவட்டம்,DC-590,RC-3
Thoothukudi,தூத்துக்குடி,District,மாவட்டம்,District,மாவட்டம்,DC-594,RC-4
Tiruchirappalli,திருச்சிராப்பள்ளி,District,மாவட்டம்,District,மாவட்டம்,DC-591,RC-3
Tirunelveli,திருநெல்வேலி,District,மாவட்டம்,District,மாவட்டம்,DC-592,RC-4
Tirupattur,திருப்பத்தூர்,District,மாவட்டம்,District,மாவட்டம்,DC-732,RC-1
Tiruppur,திருப்பூர்,District,மாவட்டம்,District,மாவட்டம்,DC-634,RC-2
Tiruvallur,திருவள்ளூர்,District,மாவட்டம்,District,மாவட்டம்,DC-589,RC-1
Tiruvannamalai,திருவண்ணாமலை,District,மாவட்டம்,District,மாவட்டம்,DC-593,RC-1
Vellore,வேலூர்,District,மாவட்டம்,District,மாவட்டம்,DC-595,RC-1
Viluppuram,விழுப்புரம்,District,மாவட்டம்,District,மாவட்டம்,DC-596,RC-1
Virudhunagar,விருதுநகர்,District,மாவட்டம்,District,மாவட்டம்,DC-597,RC-4
